1|Customer1|F|21|AL|0|['jeans']|2016|6|Y
2|Customer2|M|36|AK|1|['jeans']|2017|6|Y
3|Customer3|F|68|AZ|2|['tshirt']|2017|3|N
4|Customer4|M|32|AR|3|['shoes']|2016|6|Y
5|Customer5|M|22|CA|4|['jeans']|2017|7|N
6|Customer6|M|67|CO|5|['dressShirt']|2017|4|Y
7|Customer7|F|67|CT|6|['socks']|2016|10|Y
8|Customer8|M|72|DC|7|['socks']|2017|10|Y
9|Customer9|M|22|DE|8|['jeans']|2017|2|Y
10|Customer10|F|73|FL|9|['socks']|2016|11|Y
11|Customer11|M|68|GA|10|['jacket']|2017|6|Y
12|Customer12|M|58|HI|11|['jacket']|2016|8|Y
13|Customer13|F|18|ID|12|['jeans']|2017|7|N
14|Customer14|M|87|IL|13|['shoes']|2017|6|N
15|Customer15|M|57|IN|14|['socks']|2017|6|Y
16|Customer16|F|88|IA|15|['jacket']|2016|6|Y
17|Customer17|F|19|KS|16|['jeans']|2016|7|Y
18|Customer18|F|77|KY|17|['socks']|2016|6|N
19|Customer19|F|22|LA|18|['jeans']|2017|5|Y
20|Customer20|F|76|ME|19|['heels']|2016|8|N
21|Customer21|M|19|MD|20|['jeans']|2016|7|Y
22|Customer22|M|32|MA|21|['socks']|2016|7|N
23|Customer23|F|43|MI|22|['shoes']|2016|9|Y
24|Customer24|M|49|MN|23|['jeans']|2017|2|Y
25|Customer25|M|22|MS|24|['jeans']|2016|1|N
26|Customer26|M|65|MO|25|['jacket']|2017|9|Y
27|Customer27|M|48|MT|26|['tshirt']|2017|11|Y
28|Customer28|F|79|NE|27|['jeans']|2016|2|Y
29|Customer29|M|21|NV|28|['jeans']|2017|2|Y
30|Customer30|F|18|NH|29|['jeans']|2016|3|Y
31|Customer31|F|75|NJ|30|['dressShirt']|2017|5|N
32|Customer32|F|36|NM|31|['dressShirt']|2017|11|N
33|Customer33|M|18|NY|32|['jeans']|2016|6|N
34|Customer34|M|33|NC|33|['tshirt']|2016|6|Y
35|Customer35|F|71|ND|34|['shoes']|2016|8|N
36|Customer36|M|54|OH|35|['shoes']|2017|4|N
37|Customer37|M|22|OK|36|['jeans']|2016|5|N
38|Customer38|F|39|OR|37|['dressShirt']|2016|2|N
39|Customer39|F|47|PA|38|['coat']|2016|4|N
40|Customer40|M|74|RI|39|['socks']|2016|5|N
41|Customer41|F|22|SC|40|['jeans']|2017|11|N
42|Customer42|M|29|SD|41|['jacket']|2017|10|Y
43|Customer43|M|67|TN|42|['dress']|2017|5|Y
44|Customer44|F|88|TX|43|['heels']|2017|8|Y
45|Customer45|F|19|UT|44|['jeans']|2017|5|Y
46|Customer46|F|63|VT|45|['coat']|2016|9|Y
47|Customer47|M|82|VA|46|['socks']|2016|10|Y
48|Customer48|M|68|WA|47|['jacket']|2016|7|Y
49|Customer49|F|18|WV|48|['jeans']|2016|1|N
50|Customer50|F|37|WI|49|['tshirt']|2016|8|Y
51|Customer51|M|52|AL|0|['dress']|2017|6|Y
52|Customer52|M|86|AK|1|['tie']|2017|9|Y
53|Customer53|M|20|AZ|2|['jeans']|2016|2|Y
54|Customer54|M|47|AR|3|['coat']|2016|7|Y
55|Customer55|M|42|CA|4|['socks']|2017|8|N
56|Customer56|F|53|CO|5|['heels']|2016|9|Y
57|Customer57|F|22|CT|6|['jeans']|2017|11|Y
58|Customer58|M|57|DC|7|['socks']|2017|3|N
59|Customer59|F|30|DE|8|['coat']|2016|9|Y
60|Customer60|F|81|FL|9|['jeans']|2016|9|N
61|Customer61|F|18|GA|10|['jeans']|2017|4|N
62|Customer62|M|32|HI|11|['tie']|2016|7|Y
63|Customer63|M|88|ID|12|['jeans']|2016|10|Y
64|Customer64|M|43|IL|13|['heels']|2017|6|Y
65|Customer65|F|19|IN|14|['jeans']|2017|10|Y
66|Customer66|F|63|IA|15|['shoes']|2016|10|Y
67|Customer67|M|85|KS|16|['jacket']|2016|3|Y
68|Customer68|M|81|KY|17|['coat']|2017|9|N
69|Customer69|M|19|LA|18|['jeans']|2016|1|N
70|Customer70|M|20|ME|19|['jeans']|2016|4|Y
